ID,Username,CreateDate,Biased,Keyword,Text,Predicted
1345491331905429504,challahdread,2021-01-02 22:05:06+00:00,0,Israel,"hi Israel is doing a lot of very messed up things but just because you disagree with the actions of a government doesn�t mean you can pretend that there is genocide, apartheid, etc going on when there is not. Words mean things.",1
1441465674950266881,ElvisFever,2021-09-24 14:12:52+00:00,0,Israel,�Rashida is a bigot and a liar. Period.� Rashida Tlaib gets fact-DROPPED over and over and over again for insisting Israel is an apartheid state (period) https://t.co/mIUVmJVpmg,1
1513252200667045892,carolineratner,2022-04-10 20:26:54+00:00,0,Israel,"I arrived in Santiago in the midst of ""Israeli Apartheid Week"" which takes place there to break this myth called ""Israeli Apartheid"" once and for all.  None of those who tried to confront me were able to shut me down because of the simple fact - I am an Arab from Israel. https://t.co/X9NBDspkbe",1
1140152233386004486,cfcantisemitism,2019-06-16 07:00:50+00:00,0,ZioNazi,Aliya Hasan: Israel�s flag is �so offensive�; �intolerant form of Zionazism� #Canada #Delegitimization  https://t.co/wtIrTJJR3c https://t.co/hoJnBaBaV2,1
1192575506882977794,vafairman,2019-11-07 22:52:12+00:00,0,ZioNazi,"Don�t forget �genocide!� \n\nLike �zionazi,� they figure it�s especially painful, as they turn what actually happened (((us))) on its head. https://t.co/xfSSsvoX93",1
1351471486532419586,JackDarcey2,2021-01-19 10:08:06+00:00,0,Jews,@ManInEngland @CNN This is apartheid. Its only the Jews that cant travel in safety https://t.co/IV9RRvA2w7,1
1646900288861917184,uri4u,2023-04-14 15:36:41+00:00,0,Israel,"Its funny how people who claim Israel is ""apartheid"", are perfectly ok with the concept of a Judenrein Palestinian State. https://t.co/I2zPNCosT5",1
1352771322863116288,SpiderActually,2021-01-23 00:13:11+00:00,0,Jews,"Shabbat Shalom to everybody except opportunistic grifters who debase the meaning of antisemitism, equate Jews with Israelis, and trivialize the Holocaust in a craven pitch to apartheid advocates. To everybody else, a restful Shabbos! ?? https://t.co/0xjClSdcZ7",1
1212868104658849795,MonarchinMN,2020-01-02 22:47:44+00:00,0,Israel,"Mr. Dean,  (1) You claimed Israel is Apartheid yet you cannot identify a single Israeli Apartheid policy. Not even one.   (2) You claimed Israel occupies Gaza, yet you cannot identify a single Israeli in Gaza.  I was fair. I gave you your chance. I will now mute you. https://t.co/9lhKdlhsVD",1
1206420081980452864,ashleyblair21,2019-12-16 03:45:36+00:00,0,ZioNazi,@Ibutterfly34 @SamSlamDunkIAm @BernieSanders Another one called me a zionazi bitch they?re lovely,1
1441384274024824839,joseph_less,2021-09-24 08:49:25+00:00,0,Israel,Tlaib Draws Bipartisan Fire After Calling Israel �Apartheid� State; House Votes to Fund Iron Dome https://t.co/ZXLwvrHDV2,1
1609563875497713668,edrormba,2023-01-01 14:55:06+00:00,0,Israel,"“Wars that Arab nations and Palestinian terrorists have been unable to win against Israel opened up into new theater: War of defamatory words, antisemitic semantics, semiotics of Palestinian suffering.� Apartheid slander is major weapon in that war. \n[No 🚫#IsraeliApartheid ] https://t.co/6yi9hXlbMI",1
1572388174256832512,royprb,2022-09-21 00:52:08+00:00,0,Jews,"RT @jihadwatchRS: UK: Muslims threaten to kill Jews and dogs, police do nothing https://t.co/XEs0y3dSO9 https://t.co/3aHrK2rda6",1
1247148074474110976,troybison,2020-04-06 13:04:06+00:00,0,ZioNazi,"List of ""ZioNazis"" &amp; Keir #Starmer as ""Star-of-David-Mer"" ??\n#LabourAntisemitism https://t.co/cSHeTevibd",1
