ID,Username,CreateDate,Biased,Keyword,Text,Predicted
1202822653293150209,DerorCurrency,2019-12-06 05:30:42+00:00,1,ZioNazi,"Tell me again how Judaism is not ZioNazism.  ""It's an evil society. Carpet bomb the lot of them.""  Rabbi David Bar-Hayim  https://t.co/h6tbHGb7pC",1
1392122661749379072,SufiView,2021-05-11 14:21:21+00:00,1,Israel,RT @NawazSharifMNS: The world has been criminally negligent to the plight of Palestinians for too long. Israel targeting children &amp; unarmed civilians is terrorism at its worst. I strongly condemn this brutality in Al Aqsa Mosque &amp; Gaza. My heart goes out to the victims. The world must act &amp; act NOW https://t.co/wR5NHgvRZI,1
1345103086180855811,EricMoLevesque,2021-01-01 20:22:21+00:00,1,Israel,"Israel is imposing an apartheid regime, denying Palestinians their right to self-determination. Global civil society groups are calling on @UN_PGA to act for justice. #UNInvestigateApartheid #SanctionsOnApartheid\n\nRead their call https://t.co/oc1FORozED https://t.co/l20HUkchA7",1
1234548498915155968,GrayAngel81,2020-03-02 18:37:53+00:00,1,Israel,Netanyahu's israel is the same as Gantz's israel; everyone is zionist [Joint List aside] &amp; the issue of israel's apartheid is not up for debate https://t.co/oeMDTMupMF,1
1228143125643714561,Suket_T3k1,2020-02-14 02:25:13+00:00,1,ZioNazi,"#Apartheid zionazist...\nEthnic cleansing, land seizure, home demolition, military occupation, bombing of Gaza..\nIsrael is copying South Africa very well\n\n#SobatPalestinaINA \n#BelaBaitulMaqdis_AlQuds\nhttps://t.co/JXXuu7oas7",1
1117756487558991872,Belle_Palestine,2019-04-15 11:48:08+00:00,1,ZioNazi,It�s only zionazi terrorism ... https://t.co/qMF5EZNrvI,1
1164126514780213248,hazem1973,2019-08-21 10:46:04+00:00,1,ZioNazi,According to ZioNazis in order for you NOT to be anti Semitic you have to support israels murder of Palestinian ch https://t.co/mXNQQjrsKl,1
1097441242647068673,MuzafferMuzzy49,2019-02-18 10:22:36+00:00,1,ZioNazi,Zionazi terorist bastard https://t.co/CCZOomGg8a,1
1237254370284187648,leaderless_one,2020-03-10 05:50:03+00:00,1,ZioNazi,@EricJRacy @rosen_steve @JvpAction @jvplive @ACLUaz ZioNazi in the house!,1
1393595616089890816,Akulnunofurbus,2021-05-15 15:54:21+00:00,1,Israel,"RT @RashidaTlaib: Israel targeting media sources is so the world can't see Israel's war crimes led by the apartheid-in-chief Netanyahu.  It's so the world can't see the killing of babies, children and their parents.  It's so the world can't see Palestinians being massacred. https://t.co/AvDp3IuxUA",1
1199923096725204992,plive_calmer,2019-11-28 05:28:54+00:00,1,Kikes,?? Please Retweet: #MAGA The limit of kikes unfortunately is very unlikely rawr xd Rad . ?? ?? ?? ?? ?? ?? 8? ?? ?? ?? ?? ??,1
1150762917798785024,Say_Non_Now,2019-07-15 13:43:54+00:00,1,ZioNazi,We all know that Lindsay and her �friends� are all a bunch of Warmongering ZioNAZI plants that put Israel over America.\n\n#AbolishAIPAC\n\n#AuditTheFED https://t.co/0X8gKJGEIn https://t.co/hvxiCN4LXk,1
1511343677578391560,Shaz_Shazdee,2022-04-05 14:03:06+00:00,1,Israel,"The true israel, the most fascist entity that uses all means to continue forcing ethnic cleansing of the native Palestinians https://t.co/PPDcrFR7q9",1
1240753870206152704,laotraneta,2020-03-19 21:35:49+00:00,1,ZioNazi,@domenictiso4 @RightWingWatch Jewchristian zionazis sects!,1
1253799460901056517,mrbill555,2020-04-24 21:34:20+00:00,1,ZioNazi,Zionazis https://t.co/dwfRV6VxA5,1
1512115773254377484,millriv,2022-04-07 17:11:08+00:00,1,Israel,"Unilever is attempting to bully Ben &amp; Jerry�s independent board into maintaining business as usual with apartheid Israel, the BDS movement said yesterday. https://t.co/vF60qR49Pj",1
1216801054433652736,aHarand,2020-01-13 19:15:53+00:00,1,ZioNazi,@StateDept @realDonaldTrump Mr. president you and your administration stands only and only for ZioNazi terrorist state of Israel.,1
1222622808381050885,SDGMasterglass,2020-01-29 20:49:27+00:00,1,ZioNazi,"Every country must reject NetanYahoo concocted fake deal of the century world nations must stand up to this ZioNazis crime of the century, no more Balfour ! https://t.co/cXFMCbpo3h",1
1473592555375837184,AlRawand3,2021-12-22 04:53:37+00:00,1,Israel,"@UKinJerusalem Israel is a criminal state that kills innocent Palestinians and demolishes their homes. ""Israel"" must be boycotted and sanctioned over its crimes that committed against Palestinian people.",1
1144288608175759366,hmedsix,2019-06-27 16:57:18+00:00,1,ZioNazi,"Racist apartheid state. Zionazis dont spare even  black soldiers, who protect them.",1
1133083019206692864,crustycobs,2019-05-27 18:50:18+00:00,1,ZioNazi,Trump who won't actually get his gun + fight a war is under the control of ZioNazi Schill Bolton.\nWar with Iran would make the Iraq War look like a cakewalk https://t.co/ebYCEJQ8cZ via @YouTube,1
1173374974410674176,Govt4theP,2019-09-15 23:16:08+00:00,1,ZioNazi,@codepink Since Zionazi #terrorUSt$ ideologues of #USrael have yet to get the U.S. beyond economic war sanctions on https://t.co/L0A7A3fw02,1
1126621834009563136,kkuoeuntrc,2019-05-09 22:55:51+00:00,1,Kikes,@GiladAtzmon @TOOEdit Kikes are absolutely filthy,1
1195885491473862656,plive_calmer,2019-11-17 02:04:54+00:00,1,Kikes,??   #lol The media's love affair with kikes perhaps is indicative of the alt-right ? Fad :) ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,1
1117929370910281728,IqbalWaheed8,2019-04-15 23:15:06+00:00,1,ZioNazi,@DauntinglyS @santafeez zioNazi bot,1
1397848144071647234,username_wan,2021-05-27 09:32:22+00:00,1,Jews,"@1Cindi1 @AntiIsr44522351 @MikeMoc4 @IDF That land (Palestine) used to be a shared land between, Muslim, jews and Christian. They live in peace and harmony. Until the so called �zionisme movement� came to the land and corrupt the land. Even the natives jews not accept this fake country (israel)",1
1454891241095761920,smeetheens,2021-10-31 15:21:17+00:00,1,Israel,"@dAviDHD_G @zei_squirrel @deffonottommac its illegal to get gay married in israel. hell, even interfaith marriage is illegal over there. surprisingly enough, an apartheid state isnt very socially progressive",1
1233345545676165120,theforeverman,2020-02-28 10:57:47+00:00,1,ZioNazi,"This Fake #Arab TV &amp; all ZioNazi media are screaming but #Assad &amp; #Putin have all rights under international law to kick out foreign invaders - Turkey, the USA and ZioNazi Israel NOW. Why don't they? (33 Turkish soldiers killed in Syrian air raid in Idlib https://t.co/0dSC4hk9UF",1
1436844372369317889,eyad48819516,2021-09-11 20:09:28+00:00,1,Israel,"#AIPAC, Israel has been striking the Gaza Strip since the ceasefire last May. Many innocent people have been killed, including 12 children. Why are you keeping quiet about this? #ThisIsIsrael #IsraeliTerrorism #Israeliwarcrimes #BDS #IsraeliApartheid  #swilkinsonbc #SaveIsraa",1
