ID,Username,CreateDate,Biased,Keyword,Text,Predicted
1392122661749379072,SufiView,2021-05-11 14:21:21+00:00,1,Israel,RT @NawazSharifMNS: The world has been criminally negligent to the plight of Palestinians for too long. Israel targeting children &amp; unarmed civilians is terrorism at its worst. I strongly condemn this brutality in Al Aqsa Mosque &amp; Gaza. My heart goes out to the victims. The world must act &amp; act NOW https://t.co/wR5NHgvRZI,1
1199923096725204992,plive_calmer,2019-11-28 05:28:54+00:00,1,Kikes,?? Please Retweet: #MAGA The limit of kikes unfortunately is very unlikely rawr xd Rad . ?? ?? ?? ?? ?? ?? 8? ?? ?? ?? ?? ??,1
1511343677578391560,Shaz_Shazdee,2022-04-05 14:03:06+00:00,1,Israel,"The true israel, the most fascist entity that uses all means to continue forcing ethnic cleansing of the native Palestinians https://t.co/PPDcrFR7q9",1
1126621834009563136,kkuoeuntrc,2019-05-09 22:55:51+00:00,1,Kikes,@GiladAtzmon @TOOEdit Kikes are absolutely filthy,1
1195885491473862656,plive_calmer,2019-11-17 02:04:54+00:00,1,Kikes,??   #lol The media's love affair with kikes perhaps is indicative of the alt-right ? Fad :) ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,1
1436844372369317889,eyad48819516,2021-09-11 20:09:28+00:00,1,Israel,"#AIPAC, Israel has been striking the Gaza Strip since the ceasefire last May. Many innocent people have been killed, including 12 children. Why are you keeping quiet about this? #ThisIsIsrael #IsraeliTerrorism #Israeliwarcrimes #BDS #IsraeliApartheid  #swilkinsonbc #SaveIsraa",1
1103004400258371588,RifkinRatFink,2019-03-05 18:48:36+00:00,1,Kikes,RT @USSLibincident: Ethno nationalism is only considered ok when kikes do it. https://t.co/bbwr7zFNlN,1
1197531087645396995,plive_calmer,2019-11-21 15:03:55+00:00,1,Kikes,?? BREAKING NEWS!!! #Syria The desperate state of kikes sadly will be the lack of Jobs and Growth rawr Bad ! ?? ? ?? ?? ?? ? ???? ? ?? ?? ?? ??,1
1248765024505671680,Yagirlpepperlol,2020-04-11 00:09:17+00:00,1,Israel,I do not support the illegitimate state of Israel,1
1277099460506443776,bluegh05t,2020-06-28 04:40:13+00:00,1,Israel,retweet if you agree that israel isn't a country https://t.co/IoQJNXPkM4,1
1179393834607955974,hartman_eng,2019-10-02 13:52:56+00:00,1,Kikes,"I do not look down on niggers, kikes, wops or greasers.\nHere you are all equally worthless!\n?????????????????????????????????",1
1165559104896720896,Sohrab64171756,2019-08-25 09:38:40+00:00,1,ZioNazi,"@borzou ""Think Tank""?!  Are you kidding?!\nFDD is a disgusting ZioNazi pressure group and its psychopathic leader, Dumbowitz, openly brags on Twitter about Iranians dying because the sanctions caused shortages of medicine. The highest moral high ground for the FDD would still be the sewer",1
1198328842588430336,plive_calmer,2019-11-23 19:53:54+00:00,1,Kikes,?? Hear me out; #randum The basis of  kikes (As of this decade) is due to the socialist revolution ? FAKE ! ?? ?? ?? ? ?? ? ? ?? ?? ? 4? ??,1
