ID,Username,CreateDate,Biased,Keyword,Text
1389360261270806533,juanparza,2021-05-03 23:24:34+00:00,0,Israel,RT @Reuters: Israel to send COVID-19 emergency aid to India https://t.co/G1SagiKbW5 https://t.co/jbEHYbpH7S
1248396592970776576,lovely_leah_x,2020-04-09 23:45:16+00:00,0,Jews,"@harsh_malarkey All that Israel has ever asked of non-Jews is ?don?t murder or assault anyone?. If someone has to dramatically change their way of life to follow that simple request, then maybe their culture needs improving anyway."
1347401450146693121,MayerSimcha,2021-01-08 04:35:13+00:00,0,Jews,"Why'd ???? think ?lest war starts, and they join our enemies and fight against us?? Egypt had only been good to the Jews up until that point  Altho ???? ordered the abuse and torture of the Jews, the Torah says ??? ?? ??? ?? ????. The Torah highlights his lack of hakaras hatov"
1259978158075531267,jm44dog,2020-05-11 22:46:16+00:00,0,Jews,"#heroesMW\n""... We must know these good people who helped Jews during the Holocaust. We must learn from them, and in gratitude and hope, we must remember them."" - Elie Wiesel\n\nExplore our online database with the stories of the Righteous Among the Nations https://t.co/3DMDk9uHR4 https://t.co/a7QsGeEdro"
1254852815912140801,JewishInteract,2020-04-27 19:20:00+00:00,0,Israel,"Explore Israel virtually with interactive videos, games and activities. \n\nToday's #JiByte is focused on the beautiful land of Israel and its different sites. https://t.co/ff5hqC2KjK https://t.co/0mfqeJbXAU"
1344829282414166017,Fanxxxxtastic,2021-01-01 02:14:21+00:00,0,Israel,Possible Iranian attack??? Trump returns to Washington earlier than expected and Pence cancels trip to Israel.\nThe U.S. assassinated Soleimani nearly one year ago. What are they planning now?\n\nhttps://t.co/fFjIrbtbN9
1589726256911753216,leroyith,2022-11-07 21:07:29+00:00,0,Israel,"New story on NPR: As Netanyahu forms Israeli government, U.S. may boycott one of his far-right allies https://t.co/Dsx5s1W6P2"
1345591733044723712,Aleksan91582349,2021-01-03 04:44:03+00:00,0,Israel,@refugee_archive @SRAntiFascism I think Israel should give them asylum
1242382710561107969,SevenShepherd,2020-03-24 09:28:15+00:00,0,Israel,"""[Even] an heritage unto Israel his servant: for his mercy [endureth] for ever."" ~Psalms 136:22 #Bible #Poetry #God"
1268895623278850050,natehansen42,2020-06-05 13:21:06+00:00,0,Jews,Seems like one of @JoeBidens 10-15% of bad people in America. Unless its okay to hate Jews.  Rules seem to be changing fast this year. https://t.co/V9Kex77liL
1640518896951214080,AugustEve2012,2023-03-28 00:59:19+00:00,0,Israel,"Netanyahu delays judicial overhaul after unprecedented strikes, protests https://t.co/Y9WVv7vHcj"
1300428842083872768,SherlockAgain,2020-08-31 13:42:51+00:00,1,Jews,"@LadyVelvet_HFQ Love jews so much\nAnd no pain for the Muslims of Palestine?\nSadly, even after being so wise, you cannot speak a word against the Jews."
1474682898330505216,HotZionistTakes,2021-12-25 10:06:15+00:00,0,Jews,"@_Goldwasser_ ""It's apartheid, and not just police using police tactics on rioters or violent protestors""\n\nI swear, you're so eager to smear Jews that it's a wonder you haven't been employed by some neo-Nazi org yet.\n\nhttps://t.co/FcelFoSrRd"
1531010252581154817,Emaq585,2022-05-29 20:31:03+00:00,0,Israel,RT @MoeedNj: Why comments from Israeli President at Davos (26 May) about meeting a Pakistani delegation? What's the logic behind these overtures towards Israel? How this fits into the the strategy of Regime Change in Pakistan? https://t.co/wtRSX8tp6r via @YouTube
1286974671603326976,MosesOwuala,2020-07-25 10:40:47+00:00,0,Jews,"Thank you @Imamofpeace \n\nIf any other minority group were attacked with the constant abuse and vilification heaped on Jews, the abusers would be �cancelled�. \n\nSome are more equal than others. https://t.co/zy6cG6R7LY"
1345745635924992000,mstoucan,2021-01-03 14:55:37+00:00,1,Israel,Raising the pictures of #Soleimani On the borders of Lebanon and Israel occupied Palestine lands https://t.co/PGatlmETgA
1213010002580922368,callmestair,2020-01-03 08:11:35+00:00,0,Jews,"Fear of the crosses, fear of Jawi, fear of the transgenders, fear of the tudung, fear of the serban, fear of the Jews, fear of pluralism, fear of babi.\n\nNothing can be achieved when the society remains chained by irrational fears. We need to break these chains &amp; free ourselves. https://t.co/8chfQZbl7w"
1504973218033065990,ringo1865,2022-03-19 00:09:10+00:00,0,Israel,"So if the US, Israel, China, &amp; Russia will not tolerate Iran having a nuclear weapon - then what is the purpose of the JCPOA?\n\nI'll tell you, it's an economic incentives program for countries to dive into Iran's economy - one that serves Khamenei - disguised as a weak arms deal."
